performance_country,composer,composer_nationality,gender,work,performances
Turkey,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,17
Turkey,"Hajibeyov,U",Azerbaijan,m,Arshin Mal Alan,6
Azerbaijan,"Hajibeyov,Z",Azerbaijan,m,Ashiq Qarib,1
Azerbaijan,"Hajibeyov,Z",Azerbaijan,m,Ashiq Qarib,2
Finland,Hakola,Finland,m,Akseli,9
Austria,Halevy,France,m,La juive,4
Belgium,Halevy,France,m,La juive,5
Belgium,Halevy,France,m,La juive,6
France,Halevy,France,m,La juive,4
France,Halevy,France,m,La juive,7
France,Halevy,France,m,La juive,2
France,Halevy,France,m,La juive,5
France,Halevy,France,m,La Reine de Chypre,1
France,Halevy,France,m,Le Dilettante d'Avignon,1
Germany,Halevy,France,m,La juive,5
Germany,Halevy,France,m,La juive,2
Germany,Halevy,France,m,La juive,11
Germany,Halevy,France,m,La juive,4
Germany,Halevy,France,m,La juive,9
Germany,Halevy,France,m,La juive,3
Lithuania,Halevy,France,m,La juive,2
Lithuania,Halevy,France,m,La juive,1
Lithuania,Halevy,France,m,La juive,2
Russia,Halevy,France,m,La juive,1
Russia,Halevy,France,m,La juive,1
Russia,Halevy,France,m,La juive,1
Russia,Halevy,France,m,La juive,1
Slovakia,Halevy,France,m,La juive,5
Slovakia,Halevy,France,m,La juive,5
Sweden,Halevy,France,m,La juive,10
Germany,Halffter,Spain,m,Schachnovelle,6
Netherlands,Hall,United Kingdom,f,Folie a deux,2
Norway,Hall,United Kingdom,f,Folie a deux,2
United Kingdom,Hall,United Kingdom,f,Folie a deux,1
United Kingdom,Hall,United Kingdom,f,Folie a deux,1
United Kingdom,Hall,United Kingdom,f,Folie a deux,1
United Kingdom,Hall,United Kingdom,f,Folie a deux,1
Norway,Halstensen,Norway,m,All About My Family,2
Argentina,Handel,United Kingdom,m,Agrippina,6
Argentina,Handel,United Kingdom,m,Giulio Cesare in Egitto,4
Australia,Handel,United Kingdom,m,Athalia,4
Australia,Handel,United Kingdom,m,Partenope,4
Australia,Handel,United Kingdom,m,Saul,4
Australia,Handel,United Kingdom,m,Theodora,5
Austria,Handel,United Kingdom,m,Acis e Galatea,1
Austria,Handel,United Kingdom,m,Acis e Galatea,1
Austria,Handel,United Kingdom,m,Agrippina,6
Austria,Handel,United Kingdom,m,Alcina,1
Austria,Handel,United Kingdom,m,Alcina,4
Austria,Handel,United Kingdom,m,Alessandro,1
Austria,Handel,United Kingdom,m,Almira,3
Austria,Handel,United Kingdom,m,Amadigi di Gaula,1
