IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,76,COUNTRY,PUBLISHED,Maternal mortality ratio,Brazil,66.91036058,51.94715388,87.59136545
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,84,COUNTRY,PUBLISHED,Maternal mortality ratio,Belize,66.80086902,39.49181624,111.303344
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,90,COUNTRY,PUBLISHED,Maternal mortality ratio,Solomon Islands,122.5894882,64.75694791,230.8806414
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,96,COUNTRY,PUBLISHED,Maternal mortality ratio,Brunei Darussalam,36.3540464,24.86845396,52.33720585
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,100,COUNTRY,PUBLISHED,Maternal mortality ratio,Bulgaria,5.55967365,3.22544949,9.03123111
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,104,COUNTRY,PUBLISHED,Maternal mortality ratio,Myanmar,184.6351445,124.0669832,310.8931435
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,108,COUNTRY,PUBLISHED,Maternal mortality ratio,Burundi,391.9746806,251.3668851,611.1360407
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,112,COUNTRY,PUBLISHED,Maternal mortality ratio,Belarus,1.095984376,0.620868843,1.884086657
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,116,COUNTRY,PUBLISHED,Maternal mortality ratio,Cambodia,137.3894187,96.47467608,238.918392
AC597B1MDG_0000000026,MDG_0000000026,AC597B1,MDG_0000000026,2023,YEAR,120,COUNTRY,PUBLISHED,Maternal mortality ratio,Cameroon,258.2253997,195.5898546,359.4639765
